,City,Lat,Lng,Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
183,klaksvik,62.2266,-6.589,52.72,52.72,91,99,15.75,FO,1621967860
184,agirish,61.9247,63.0231,53.06,53.06,71,100,3.06,RU,1621967860
185,dafeng,23.4517,108.5881,75.25,75.25,95,36,2.62,CN,1621967861
186,aurad,18.25,77.4333,88.66,88.66,24,100,10.29,IN,1621967861
187,inhambane,-23.865,35.3833,60.8,60.8,88,0,3.44,MZ,1621967862
188,olhao,37.0286,-7.8411,73.29,73.29,53,0,8.9,PT,1621967827
189,buraydah,26.326,43.975,91.85,91.85,9,0,13.2,SA,1621967863
190,port elizabeth,-33.918,25.5701,64.4,64.4,88,0,10.36,ZA,1621967774
191,carnarvon,-24.8667,113.6333,50.07,50.07,81,90,10.36,AU,1621967863
192,kodiak,57.79,-152.4072,49.51,49.51,71,1,6.91,US,1621967864
193,tanabe,33.7333,135.3667,67.93,67.93,59,93,5.01,JP,1621967864
194,vardo,70.3705,31.1107,37.38,37.6,70,75,4.61,NO,1621967864
195,deer lake,49.1667,-57.4316,58.86,58.86,51,75,20.71,CA,1621967865
196,marana,32.4367,-111.2254,91.92,95.2,6,1,0.0,US,1621967865
197,san quintin,30.4833,-115.95,70.23,70.23,56,53,10.2,MX,1621967866
198,meulaboh,4.1363,96.1285,79.07,79.07,84,100,5.91,ID,1621967866
199,sibu,2.3,111.8167,79.11,79.11,89,40,0.85,MY,1621967866
200,cidreira,-30.1811,-50.2056,66.56,66.56,49,0,11.97,BR,1621967867
201,lavrentiya,65.5833,-171.0,37.8,37.8,76,64,11.01,RU,1621967867
202,brae,60.3964,-1.353,49.91,49.91,88,100,10.89,GB,1621967868
203,ginir,7.1333,40.7,56.95,56.95,85,8,6.38,ET,1621967868
204,kaniama,-7.5667,24.1833,66.38,66.38,47,0,4.97,CD,1621967869
205,buala,-8.145,159.5921,79.36,79.36,85,95,12.39,SB,1621967869
206,mhlume,-26.0333,31.85,59.0,59.0,86,91,3.44,SZ,1621967870
207,kirkland lake,48.1446,-80.0377,68.29,68.83,77,100,8.93,CA,1621967870
208,waipawa,-41.4122,175.5153,38.08,41.04,80,45,4.56,NZ,1621967871
209,douglas,41.3,-96.167,78.13,80.98,70,75,4.0,US,1621967834
210,naze,28.3667,129.4833,69.58,69.58,64,100,1.66,JP,1621967871
211,coahuayana,18.7333,-103.6833,94.48,94.48,39,1,8.23,MX,1621967872
212,lazarev,52.225,141.5131,32.49,32.49,97,100,6.98,RU,1621967872
213,buchanan,5.8808,-10.0467,73.36,73.36,80,62,5.75,LR,1621967872
214,elliot,-31.3333,27.85,52.57,52.57,53,100,7.31,ZA,1621967873
215,cape girardeau,37.3834,-89.7168,87.37,89.11,56,97,14.34,US,1621967873
216,hambantota,6.1241,81.1185,80.94,80.94,83,75,23.76,LK,1621967874
217,kahului,20.8947,-156.47,77.99,80.83,80,1,0.0,US,1621967595
218,sur,22.5667,59.5289,91.87,91.87,38,0,13.58,OM,1621967874
219,ossora,59.2353,163.0719,34.23,34.23,100,100,4.61,RU,1621967875
220,luangwa,-15.6167,30.4167,60.85,60.85,53,0,2.53,ZM,1621967875
221,peace river,56.2501,-117.286,52.11,52.11,37,75,7.96,CA,1621967679
222,karaton,-6.3424,106.1045,82.13,82.96,88,100,3.04,ID,1621967876
223,churapcha,62.0025,132.4325,44.26,44.26,78,58,2.44,RU,1621967876
224,schramberg,48.224,8.3858,53.98,57.18,69,12,11.12,DE,1621967877
225,krasnyy yar,46.5331,48.3456,68.97,71.53,71,81,13.91,RU,1621967877
226,mount gambier,-37.8333,140.7667,51.71,51.71,76,75,17.27,AU,1621967878
227,husavik,66.0449,-17.3389,55.4,55.4,44,0,13.8,IS,1621967878
228,storforshei,66.4043,14.5233,58.78,58.78,29,0,5.57,NO,1621967879
229,ancud,-41.8697,-73.8203,49.8,50.43,94,100,12.84,CL,1621967879
230,gorontalo,0.5412,123.0595,74.88,74.88,93,94,1.77,ID,1621967880
231,luganville,-15.5333,167.1667,70.14,70.14,70,84,4.54,VU,1621967880
232,henties bay,-22.116,14.2845,67.57,67.57,65,0,12.95,NA,1621967880
233,agadir,30.4202,-9.5982,73.4,73.4,53,100,14.97,MA,1621967881
234,airai,-8.9266,125.4092,58.75,58.75,92,42,3.6,TL,1621967882
235,okhotsk,59.3833,143.3,44.2,44.2,65,91,8.1,RU,1621967882
236,gornyy,55.1153,83.9059,58.44,58.44,95,95,5.28,RU,1621967882
237,beira,-19.8436,34.8389,68.25,68.25,71,0,4.94,MZ,1621967883
238,saldanha,-33.0117,17.9442,57.25,57.25,83,30,1.19,ZA,1621967883
239,popondetta,-8.7537,148.2534,73.0,73.0,93,100,1.72,PG,1621967884
240,benghazi,32.1167,20.0667,74.57,74.57,54,0,13.71,LY,1621967884
241,mayo,38.8876,-76.5119,72.46,79.23,70,90,4.0,US,1621967885
242,hasaki,35.7333,140.8333,59.61,60.8,94,75,5.75,JP,1621967885
243,ust-nera,64.5667,143.2,43.99,43.99,62,11,4.63,RU,1621967885
244,altay,47.8667,88.1167,62.78,62.78,24,0,7.76,CN,1621967886
245,codrington,-38.2667,141.9667,52.38,52.38,78,98,26.33,AU,1621967886
246,kitimat,54.0524,-128.6534,55.9,55.9,72,57,1.01,CA,1621967887
247,nagato,34.3833,131.2,58.19,66.11,79,100,2.82,JP,1621967887
248,nome,64.5011,-165.4064,61.61,62.6,29,1,10.36,US,1621967887
249,kindu,-2.95,25.95,72.84,72.84,73,86,1.97,CD,1621967888
250,guerrero negro,27.9769,-114.0611,74.64,74.64,43,13,9.86,MX,1621967888
251,jaca,42.569,-0.5499,62.98,64.6,66,3,3.96,ES,1621967889
252,dire dawa,9.5931,41.8661,75.38,75.38,32,64,10.0,ET,1621967889
253,domoni,-12.2569,44.5319,75.99,75.99,75,7,8.79,KM,1621967890
254,namibe,-15.1961,12.1522,73.6,73.6,76,0,3.11,AO,1621967890
255,cheyenne,41.14,-104.8203,65.52,66.2,22,1,17.27,US,1621967784
256,udachnyy,66.4167,112.4,42.58,42.58,85,100,7.94,RU,1621967891
257,tiznit,29.5833,-9.5,69.48,69.48,52,100,4.63,MA,1621967892
258,bodden town,19.2833,-81.25,83.46,86.94,35,40,14.94,KY,1621967892
259,aksarka,66.5606,67.7975,36.9,36.9,76,100,9.82,RU,1621967893
260,ferrol,43.4832,-8.2369,57.43,61.05,76,100,12.26,ES,1621967893
261,yellowknife,62.456,-114.3525,41.23,41.32,52,20,3.0,CA,1621967894
262,anadyr,64.75,177.4833,44.01,45.1,65,75,25.99,RU,1621967894
263,srednekolymsk,67.45,153.6833,46.56,46.56,68,100,15.12,RU,1621967895
264,shache,38.4167,77.2406,67.33,67.33,17,55,1.77,CN,1621967729
265,saint-georges,12.0564,-61.7485,87.48,87.48,62,20,25.32,GD,1621967785
266,karratha,-20.7377,116.8463,67.42,67.42,57,0,15.26,AU,1621967895
267,camocim,-2.9022,-40.8411,85.51,85.51,67,58,10.31,BR,1621967896
268,kamyshlov,56.8428,62.7111,63.34,63.34,62,34,9.1,RU,1621967897
269,zhaoyuan,37.3592,120.3964,67.78,67.78,39,100,17.38,CN,1621967897
270,lompoc,34.6391,-120.4579,73.11,87.1,64,1,12.66,US,1621967897
271,mapiripan,2.8892,-72.1256,82.27,82.27,78,73,1.12,CO,1621967898
272,mattru,7.6244,-11.8332,78.98,78.98,88,100,3.56,SL,1621967898
273,bor,56.3567,44.0669,52.93,53.53,71,3,5.44,RU,1621967898
274,hofn,64.2539,-15.2082,45.36,45.36,82,100,14.72,IS,1621967899
275,itarema,-2.9248,-39.9167,82.15,82.15,71,51,14.16,BR,1621967899
276,saint george,37.1041,-113.5841,82.78,84.0,13,31,3.67,US,1621967900
277,kaeo,-35.1,173.7833,50.32,50.32,92,40,12.39,NZ,1621967900
278,sokoni,-6.4333,39.55,80.46,80.46,67,100,17.69,TZ,1621967900
279,sola,-13.8833,167.55,72.27,72.27,83,20,0.0,VU,1621967901
280,marang,5.2056,103.2059,78.8,78.8,89,40,3.44,MY,1621967901
281,esperance,-33.8667,121.9,49.84,49.84,82,33,8.48,AU,1621967902
282,ellisras,-23.6649,27.7443,57.27,57.27,54,10,3.67,ZA,1621967902
283,hobyo,5.3505,48.5268,78.89,78.89,80,6,21.39,SO,1621967902
284,marsh harbour,26.5412,-77.0636,76.62,76.62,65,0,11.27,BS,1621967733
285,cordoba,-31.4135,-64.1811,68.67,69.8,26,0,6.91,AR,1621967832
286,evensk,61.95,159.2333,37.15,37.15,95,100,21.36,RU,1621967903
287,aklavik,68.2191,-135.0107,33.8,36.43,86,90,12.66,CA,1621967904
288,wertheim,49.7575,9.5094,48.33,56.46,89,81,13.27,DE,1621967904
289,payo,-3.7508,103.6372,74.71,74.71,95,81,1.77,ID,1621967905
290,huichapan,20.3833,-99.65,78.58,78.58,26,0,9.24,MX,1621967905
291,kushiro,42.975,144.3747,45.45,45.45,83,100,5.53,JP,1621967905
292,saint-philippe,-21.3585,55.7679,69.31,71.15,84,54,11.65,RE,1621967906
293,kurilsk,45.2333,147.8833,39.83,39.83,97,95,12.5,RU,1621967906
294,clyde river,70.4692,-68.5914,26.6,26.6,93,100,27.63,CA,1621967907
295,whitehorse,60.7161,-135.0538,46.72,48.02,65,75,8.99,CA,1621967717
296,ilo,-17.6394,-71.3375,67.06,67.06,77,0,8.05,PE,1621967907
297,uberaba,-19.7483,-47.9319,80.6,80.6,34,0,5.75,BR,1621967908
298,kilindoni,-7.9139,39.6668,79.38,79.38,67,56,16.93,TZ,1621967908
299,verkh-usugli,52.7,115.1667,34.45,34.45,93,96,1.03,RU,1621967909
300,casper,42.8666,-106.3131,66.11,68.99,26,40,8.99,US,1621967845
301,san andres,12.5847,-81.7006,89.62,89.62,62,75,17.27,CO,1621967909
302,leh,34.1667,77.5833,42.06,42.06,47,58,3.24,IN,1621967910
303,kedainiai,55.2883,23.9747,57.67,57.67,98,100,7.65,LT,1621967910
304,san patricio,28.017,-97.5169,86.38,87.8,74,40,16.11,US,1621967911
305,sitka,57.0531,-135.33,48.09,48.09,76,40,0.0,US,1621967911
306,soyo,-6.1349,12.3689,80.65,80.65,84,30,11.88,AO,1621967911
307,colares,38.7992,-9.4469,66.4,71.28,60,0,23.4,PT,1621967912
308,raghogarh,24.45,77.2,89.1,89.1,16,100,4.21,IN,1621967912
309,nanning,22.8167,108.3167,75.2,75.2,94,75,2.24,CN,1621967913
310,melilla,35.2937,-2.9383,68.38,70.0,68,0,6.91,ES,1621967843
311,tashla,51.7716,52.7427,68.45,68.45,75,5,21.21,RU,1621967913
312,miquelon,47.0975,-56.3814,46.15,46.4,82,100,30.91,PM,1621967914
313,tanggu,39.0211,117.6469,66.16,66.16,43,100,5.57,CN,1621967914
314,fethiye,36.6217,29.1164,71.47,71.47,34,0,4.36,TR,1621967647
315,jiaozuo,35.2397,113.2331,69.26,69.26,51,100,7.27,CN,1621967898
316,linhares,-19.3911,-40.0722,75.63,75.63,68,95,7.94,BR,1621967915
317,nuuk,64.1835,-51.7216,32.61,32.61,80,75,9.22,GL,1621967915
318,tecpan,14.7623,-90.9947,66.94,70.56,64,87,5.28,GT,1621967916
319,bansi,27.1833,82.9333,84.29,84.29,70,99,9.48,IN,1621967916
320,jiuquan,39.7432,98.5174,61.54,61.54,18,100,6.29,CN,1621967916
321,zudilovo,53.4927,83.8937,76.46,76.46,82,28,5.97,RU,1621967917
322,hearst,49.6835,-83.6665,73.65,73.65,42,100,12.86,CA,1621967917
323,portland,45.5234,-122.6762,58.19,61.81,88,75,1.99,US,1621967104
324,riorges,46.0418,4.0497,56.64,58.46,79,20,2.08,FR,1621967918
325,aloleng,16.1307,119.7824,81.88,81.88,77,6,1.99,PH,1621967918
326,huescar,37.811,-2.5412,64.22,64.26,57,16,7.4,ES,1621967919
327,bac lieu,9.285,105.7244,79.86,79.86,84,100,8.52,VN,1621967919
328,iqaluit,63.7506,-68.5145,29.7,29.93,86,90,15.01,CA,1621967919
329,praia,14.9215,-23.5087,77.54,77.54,61,20,24.16,CV,1621967920
330,akyab,20.15,92.9,82.92,82.92,74,100,22.35,MM,1621967920
331,pavlodar,52.3,76.95,73.2,73.2,43,0,5.84,KZ,1621967740
332,adrar,20.5022,-10.0711,97.57,97.57,12,100,14.83,MR,1621967921
333,guhagar,17.4842,73.1929,82.24,82.24,81,100,8.32,IN,1621967921
334,selenduma,50.9131,106.2406,45.93,45.93,89,100,4.34,RU,1621967922
335,baykit,61.67,96.37,29.91,29.91,84,99,8.28,RU,1621967922
336,tilichiki,60.4667,166.1,32.83,32.83,97,100,7.11,RU,1621967923
